go,z,t,p,nparts,nhits
GO:0008405,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008406,-0.11305724957314509,0.012781941681044415,0.9120220972557135,12,1
GO:0008408,-0.19735832546501805,0.038950308630355986,0.8468505774928572,13,1
GO:0008409,1.7593615284406494,3.095352987757018,0.12900911887105562,7,2
GO:0008412,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008413,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008417,0.18936294613484503,0.03585832536886822,0.8545245029705391,9,1
GO:0008418,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008419,3.1266328314641285,9.775832862789398,,1,1
GO:0008420,0.45651509606467044,0.2084060329349353,0.6640790992388472,7,1
GO:0008422,-0.7152430383487386,0.5115726039063353,0.5139873195200801,5,0
GO:0008424,3.1266328314641285,9.775832862789398,,1,1
GO:0008425,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008426,1.4359263503022568,2.061884483492359,0.2875270489439952,3,1
GO:0008427,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008428,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008429,0.7588199642466865,0.5758077381393426,0.4626052081636097,13,2
GO:0008430,-0.7835300265070486,0.6139193024381364,0.46878731672782725,6,0
GO:0008431,-0.6397160569659002,0.40923663353999873,0.5678593191257792,4,0
GO:0008432,1.0177980598254481,1.0359128905844468,0.33276602893988905,11,2
GO:0008437,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008440,1.083652270410898,1.1743022431666936,0.35783769368441276,4,1
GO:0008441,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008442,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008444,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008445,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008446,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008448,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008449,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008453,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008454,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008455,3.1266328314641285,9.775832862789398,,1,1
GO:0008456,-0.3198328853764785,0.10229307456824367,,1,0
